temperature, energy, magnetization
0.500000, -1.810000, 0.579000
0.600000, -1.810000, 0.627000
0.700000, -1.564000, 0.371000
0.800000, -1.692000, 0.587000
0.900000, -1.746000, 0.755000
1.000000, -1.516000, 0.483000
1.100000, -1.586000, 0.591000
1.200000, -1.780000, 0.563000
1.300000, -1.594000, 0.561000
1.400000, -1.482000, 0.453000
1.500000, -1.736000, 0.485000
1.600000, -1.742000, 0.463000
1.700000, -1.536000, 0.559000
1.800000, -1.456000, 0.553000
1.900000, -1.670000, 0.539000
2.000000, -1.724000, 0.547000
2.100000, -1.724000, 0.679000
2.200000, -1.540000, 0.555000
2.300000, -1.712000, 0.433000
2.400000, -1.454000, 0.451000
2.500000, -1.850000, 0.731000
2.600000, -1.582000, 0.553000
2.700000, -1.778000, 0.515000
2.800000, -1.554000, 0.511000
2.900000, -1.680000, 0.429000
3.000000, -1.546000, 0.571000
3.100000, -1.750000, 0.743000
3.200000, -1.646000, 0.545000
3.300000, -1.566000, 0.497000
3.400000, -1.696000, 0.499000
3.500000, -1.806000, 0.673000
3.600000, -1.558000, 0.623000
3.700000, -1.766000, 0.497000
3.800000, -1.690000, 0.679000
3.900000, -1.838000, 0.719000
4.000000, -1.716000, 0.663000
4.100000, -1.678000, 0.449000
4.200000, -1.666000, 0.585000
4.300000, -1.720000, 0.447000
4.400000, -1.640000, 0.615000
4.500000, -1.628000, 0.451000
4.600000, -1.800000, 0.565000
4.700000, -1.764000, 0.599000
4.800000, -1.738000, 0.599000
4.900000, -1.816000, 0.661000
5.000000, -1.530000, 0.331000
