# temperature, energy, magnetization, specific heat
2.900000, -0.793403, 0.581098, 0.001056
2.800000, -0.857216, 0.605250, 0.001170
2.700000, -0.854082, 0.625250, 0.001406
2.600000, -0.908972, 0.656307, 0.001292
2.500000, -0.976198, 0.683693, 0.001294
2.400000, -0.979850, 0.706806, 0.001567
2.300000, -1.050030, 0.738263, 0.001581
2.200000, -1.017754, 0.767046, 0.001520
2.100000, -1.191208, 0.798024, 0.001580
2.000000, -1.201926, 0.827046, 0.001494
1.900000, -1.233024, 0.855070, 0.001481
1.800000, -1.240629, 0.877784, 0.001744
1.700000, -1.250130, 0.907006, 0.001455
1.600000, -1.347415, 0.921537, 0.001282
1.500000, -1.418713, 0.949242, 0.001131
1.400000, -1.420549, 0.966727, 0.000832
1.300000, -1.433663, 0.976906, 0.000760
1.200000, -1.488832, 0.990240, 0.000654
1.100000, -1.479950, 0.998743, 0.000409
1.000000, -1.485938, 1.003373, 0.000275
0.900000, -1.510190, 1.006527, 0.000182
0.800000, -1.513244, 1.008723, 0.000083
0.700000, -1.514401, 1.009601, 0.000036
0.600000, -1.514760, 1.009840, 0.000020
0.500000, -1.515000, 1.010000, 0.000000
0.400000, -1.515000, 1.010000, 0.000000
0.300000, -1.515000, 1.010000, 0.000000
0.200000, -1.515000, 1.010000, 0.000000
0.100000, -1.515000, 1.010000, 0.000000
0.000000, -1.515000, 1.010000, 0.000000
